exp_id,client,segment,variation,metric,final_value,first_dt,final_dt,days_tracked
7256.0,UGT_ANDROID,Total,2.0,members,1614.0,2026-04-10,2026-04-14,5
7256.0,UGT_ANDROID,Total,2.0,revenue,374.81601168936453,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Official tabs,1.0,members,4510.0,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Official tabs,1.0,revenue,817.4320105075835,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Official tabs,2.0,members,4514.0,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Official tabs,2.0,revenue,918.071008825302,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Total,1.0,members,4510.0,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Total,1.0,revenue,3321.2688983469134,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Total,2.0,members,4514.0,2026-04-10,2026-04-14,5
7256.0,UGT_IOS,Total,2.0,revenue,3553.80615276808,2026-04-10,2026-04-14,5
7265.0,UGT_IOS,Total,1.0,members,15377.0,2026-04-10,2026-04-17,8
7265.0,UGT_IOS,Total,1.0,revenue,31027.940302432926,2026-04-10,2026-04-17,8
7265.0,UGT_IOS,Total,2.0,members,15307.0,2026-04-10,2026-04-17,8
7265.0,UGT_IOS,Total,2.0,revenue,30150.25381707379,2026-04-10,2026-04-17,8
7268.0,UG_WEB,Total,1.0,members,66365.0,2026-04-09,2026-04-29,21
7268.0,UG_WEB,Total,1.0,revenue,80000.63941860199,2026-04-09,2026-04-29,21
7268.0,UG_WEB,Total,2.0,members,66992.0,2026-04-09,2026-04-29,21
